locationMagneticHeading(°),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G)
281.107605,0.013799435,-0.041866757,-0.013795974,-2.220098033,0.039001732,0.043160548,-0.197801173,0.007753551,-0.093978226
281.107605,-0.001314536,-0.037985999,-0.001054346,-2.220116201,0.038484027,0.043500685,-0.131456733,-0.03958993,-0.053094625
281.107605,-0.013914217,-0.026674222,-0.016883908,-2.220245799,0.038086456,0.043676675,0.036711339,-0.001709428,0.068281293
281.1200867,0.022511167,-0.055126633,-0.014787734,-2.220367612,0.037551606,0.043960238,-0.113373101,-0.058142703,-0.096704185
281.1316833,-0.023156451,-0.041954909,-0.012856144,-2.220447542,0.036994035,0.044202834,-0.112815388,-0.057900041,-0.096694052
281.1316833,-0.019559586,-0.039840091,-0.01132163,-2.220528588,0.036461749,0.044322998,-0.03414287,-0.019556601,-0.034179866
281.1316833,-0.024897095,-0.051235758,-0.020442957,-2.220662123,0.035898941,0.044260864,-0.088145837,-0.035106406,-0.000739992
281.1316833,-0.077394389,-0.017576331,-0.016721722,-2.220769472,0.035487929,0.043942353,-0.221234635,-0.038720895,0.019628704
281.1472778,-0.055731438,-0.03547943,-0.013434582,-2.220876538,0.03499049,0.043527577,-0.054585062,-0.147259548,0.111415446
281.1472778,-0.118493892,-0.028790636,-0.025955435,-2.221045531,0.03461106,0.042626125,-0.2361224,-0.101698242,-0.079358876
281.1653748,-0.136107236,-0.029561887,-0.015737684,-2.221139523,0.034174402,0.04169024,-0.07835383,-0.064411178,-0.061543167
281.1653748,-0.118006535,-0.026519759,-0.017298562,-2.221240255,0.033769015,0.040809974,-0.079475641,-0.120559096,0.033019841
281.1653748,-0.116329007,-0.036817934,-0.016411465,-2.221343044,0.033306582,0.039955398,-0.144428864,-0.037628002,0.107242882
281.1796265,-0.130303949,-0.024251809,-0.018648518,-2.221461662,0.032893487,0.039089087,-0.196461409,0.104068175,0.09197098
281.1796265,-0.062279619,-0.024265658,-0.013489977,-2.221565565,0.032542003,0.038587037,-0.110554568,0.070210189,0.214514792
281.1954041,-0.088574342,-0.014193317,-0.0151936,-2.221682347,0.032303872,0.038127046,-0.097728521,0.053117894,0.140718162
281.1954041,-0.077878818,-0.007032876,-0.020842431,-2.221839623,0.032100061,0.037796859,-0.123465061,0.050620794,-0.000421822
