locationMagneticHeading(°),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G)
10.88729191,-0.05885639,0.01548788,-0.084651507,-3.095445759,0.065778073,0.001869987,0.0738203,0.079340242,0.011124849
10.9885788,-0.057356499,0.0343372,-0.080921218,-3.096216075,0.066039321,0.001432561,0.123730309,0.07313475,-0.018859923
10.9885788,-0.057740528,0.030099845,-0.088748515,-3.097028605,0.066296553,0.001014146,0.083953202,0.066673629,-0.054398894
10.9885788,-0.050614174,0.029121934,-0.090485424,-3.097869258,0.066545563,0.000650849,0.131373018,0.080455028,-0.014009833
11.10669613,-0.051655471,0.028032433,-0.09576834,-3.098754085,0.066810459,0.000304901,0.093312539,0.067047365,-0.004093885
11.10669613,-0.047619183,0.028526982,-0.098035753,-3.099673151,0.067064133,-1.95E-05,0.091518134,0.044948459,0.008981228
11.23970509,-0.049443714,0.041769549,-0.103066996,-3.100621028,0.067378571,-0.000373556,0.088717058,0.059593633,-0.041516006
11.23970509,-0.04006486,0.044917673,-0.100085318,-3.101597942,0.067649382,-0.000676098,0.099280462,0.067912139,-0.003234923
11.23970509,-0.040211335,0.037276533,-0.104567952,-3.102585387,0.067951126,-0.000951917,0.106211945,0.03785101,0.014795542
11.38269806,-0.043187153,0.025885394,-0.111080982,-3.103634946,0.068273417,-0.001249984,0.068033211,0.067002237,-0.063214362
11.38269806,-0.03393453,0.029255889,-0.101459779,-3.10464788,0.06851063,-0.00149481,0.13791056,0.026580887,-0.037641943
11.53160477,-0.032515865,0.022472817,-0.115286648,-3.105691183,0.068740071,-0.001697366,0.12890777,0.068782389,0.001007736
11.53160477,-0.039327167,0.023155652,-0.110001601,-3.106791219,0.068977325,-0.001927418,0.079156205,0.032755099,-0.110321879
11.53160477,-0.042682484,0.022235798,-0.106752276,-3.107828868,0.069118068,-0.002186257,0.11510279,0.01862588,-0.040401101
11.68248844,-0.039740488,0.023156451,-0.112399779,-3.108895587,0.069217722,-0.002463911,0.131665975,0.020713186,-0.003543377
11.68248844,-0.041968755,0.005483449,-0.113885023,-3.109990193,0.069319365,-0.002715265,0.096545652,0.072341576,-0.030635417
11.83345318,-0.052542038,0.017765414,-0.106192216,-3.111029901,0.069417443,-0.003015144,0.08738409,-0.006876929,-0.106341898
11.83345318,-0.044190098,0.004508732,-0.107233249,-3.112057742,0.069398234,-0.003362596,0.093751013,0.034782879,-0.064013839
11.83345318,-0.03870745,0.006583334,-0.106911272,-3.113097899,0.069396561,-0.00360537,0.140047923,0.041711602,-0.041645169
11.98035812,-0.050463974,0.009099489,-0.11103677,-3.114137198,0.069347719,-0.003890454,0.097005934,0.043593109,-0.065690696
11.98035812,-0.050653856,-0.00381338,-0.108524077,-3.115174453,0.069235069,-0.004210597,0.051174268,0.064162083,-0.051966548
12.12710857,-0.04650918,-0.004885835,-0.107284911,-3.116199145,0.069170674,-0.004511779,0.076827623,0.024950823,-0.06745106
12.12710857,-0.049525473,0.002140383,-0.114400342,-3.117255113,0.068968633,-0.004829912,0.153704822,0.075749464,0.017476559
12.12710857,-0.054630756,-0.013813816,-0.110349678,-3.118344376,0.068839691,-0.00520952,0.028787881,0.036444478,-0.105929554
12.12710857,-0.062354986,-0.006165218,-0.115773201,-3.119407516,0.068536688,-0.005603105,0.08547172,0.049371608,-0.037627757
12.2805481,-0.058216702,-0.022319155,-0.112551577,-3.120497283,0.068242999,-0.006024962,0.085398845,0.01579218,-0.02505213
12.2805481,-0.060358681,-0.036427248,-0.122366391,-3.121625204,0.06791881,-0.006439046,0.109007545,0.082806468,0.017203689
12.44037724,-0.066832557,-0.015139538,-0.122414865,-3.122796943,0.06760706,-0.006906685,0.021138415,0.060335398,-0.045736074
12.44037724,-0.058213506,-0.037238181,-0.122137092,-3.12395941,0.067204041,-0.007370816,0.053523391,0.049937554,0.021533251
12.44037724,-0.057579674,-0.027485155,-0.133962065,-3.125195429,0.066861458,-0.007781837,0.102235951,0.091793172,0.03766638
12.6102953,-0.05823987,-0.031435419,-0.131061345,-3.126460602,0.066551916,-0.008221458,0.03111881,0.102949992,0.009469986
