locationMagneticHeading(°),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G)
317.4102478,-0.026851587,0.008389223,-0.002265817,0.256985173,0.054145685,0.051223248,-0.011919979,0.018852551,-0.004057825
317.4102478,-0.028442293,0.009181514,-0.000124103,0.256982542,0.054139971,0.051234648,-0.000683773,-0.000209548,0.01417619
317.4102478,-0.028481975,0.006036321,-0.001151285,0.25699093,0.054121601,0.051245071,-0.000924811,-0.012574024,-0.01017642
317.4096375,-0.031624772,0.010877415,-0.002907373,0.256991924,0.054114727,0.051209041,-0.013567585,0.004006803,-0.014660239
317.4096375,-0.028910477,0.010436129,-0.002452505,0.25698506,0.054092837,0.051201419,-0.014568109,0.017289594,0.003682375
317.4096375,-0.029314213,0.013619938,-0.000961667,0.25698441,0.054110944,0.051203834,0.000794694,0.003437024,0.012821257
317.4097595,-0.031604797,0.009625729,-0.001004811,0.256994945,0.054138588,0.051181406,0.00810653,-0.007510673,-0.01667428
317.4097595,-0.02841939,0.009156214,-0.002103098,0.256997296,0.054132919,0.051156199,-0.00111945,0.007600863,-0.021540284
317.408905,-0.025990322,0.011564245,0.000504403,0.2570044,0.054125885,0.051158516,-0.008757085,0.014637481,0.002675712
317.408905,-0.029244704,0.010591125,-0.002130529,0.257013192,0.054135753,0.051173876,0.004203089,0.000889398,0.020893395
317.4079895,-0.030536603,0.010026535,0.00033183,0.25701744,0.054146653,0.051170386,0.003307208,-0.008345671,-0.005931973
317.4079895,-0.030225547,0.007964715,-0.000656203,0.257022027,0.054123636,0.051154616,-0.008876916,0.007049967,-0.013010025
317.4079895,-0.024055002,0.012747753,-0.000762463,0.257041159,0.054117184,0.051179318,-0.015736856,0.016886033,0.002095282
317.4071655,-0.028888905,0.012875585,-0.00093184,0.257035038,0.054136677,0.051201544,0.000372306,-1.38E-05,0.012194395
317.4071655,-0.029618079,0.009406551,-0.002394981,0.25703365,0.054164017,0.051201018,0.004785337,-0.010817513,-0.022185087
317.4071655,-0.030279608,0.010060357,-0.000814661,0.257035104,0.054148729,0.051182928,-0.006246828,0.006635733,-0.026516855
317.4071045,-0.026765035,0.01105851,-0.001281247,0.257035497,0.054137415,0.051187478,-0.008890558,0.01921352,-0.00317055
317.4071045,-0.026216157,0.010764231,-0.000275903,0.257035497,0.054137415,0.051187478,-0.008890558,0.01921352,-0.00317055
