locationMagneticHeading(°),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G)
290.65802,-0.026713636,0.008166051,-0.011817245,0.02370252,0.042585311,-0.01442353,-0.024155531,-0.001688986,-0.005116701
290.65802,-0.02721644,0.012458268,-0.012573848,0.023600998,0.042557241,-0.014395822,-0.010760762,-0.002820909,0.013225913
290.65802,-0.027147731,0.015588547,-0.013263874,0.023488425,0.042593349,-0.014407592,-0.009850837,-0.002924247,0.00495398
290.6730347,-0.027989823,0.012969328,-0.010462761,0.023394311,0.042621277,-0.01443041,-0.019323967,-0.004961261,-0.033286095
290.6820068,-0.024290159,0.010906444,-0.008254734,0.023318535,0.04263317,-0.014439277,-0.015109167,-0.008021899,-0.029487252
290.6820068,-0.02069862,0.01116477,-0.007725564,0.023258915,0.042621647,-0.014395313,-0.001318984,0.001391026,0.002404749
290.6820068,-0.030911043,0.014395185,-0.007625429,0.02321577,0.042653242,-0.01438561,-0.013221942,-0.002917494,-0.000221014
290.6820068,-0.028296353,0.0116737,-0.001577657,0.023192057,0.04266381,-0.014415692,-0.020358346,-0.009020615,-0.011177719
290.68396,-0.020443756,0.010673417,0.000282029,0.023201514,0.042653228,-0.014375985,-0.015724376,-0.003838642,0.00916332
290.68396,-0.023250194,0.008796954,-0.001688977,0.023217956,0.042644054,-0.014341867,-0.009138681,0.00255844,0.003960907
290.682312,-0.025347967,0.007973771,-0.001190699,0.023222108,0.042622821,-0.014323425,-0.015571907,0.00045594,-0.029469907
290.682312,-0.02197028,0.003758253,-0.001965147,0.023233826,0.042574008,-0.014299202,-0.018818978,-0.011436916,-0.033678889
290.682312,-0.021367872,0.009780459,-0.001629855,0.023229771,0.042511123,-0.014242103,-0.001391593,-0.005215183,-0.000701189
290.6817017,-0.025630794,0.009141566,-0.002175536,0.023236662,0.042502391,-0.014224015,-0.011667293,0.002829053,-0.001341403
290.6817017,-0.026921364,0.0084582,0.001285508,0.023252907,0.042479653,-0.014214947,-0.01907558,0.001205445,-0.013410032
290.6817017,-0.023925306,0.012683838,0.002184857,0.02329477,0.042476094,-0.014198954,-0.018736329,-0.004882055,0.001727104
290.677124,-0.025994582,0.012551478,0.002388057,0.023338644,0.042512728,-0.014194361,-0.00590983,-0.003336317,0.017762601
290.677124,-0.029185316,0.015533686,0.002951581,0.023385389,0.042564809,-0.014215437,-0.013850719,-0.000107301,-0.020035982
290.6705322,-0.029206621,0.01395017,0.001391502,0.023431748,0.042604958,-0.014243453,-0.019673944,-0.003568584,-0.038455427
290.6705322,-0.026922693,0.015701465,-0.001103614,0.023452486,0.042646081,-0.014240913,-0.003037244,0.001637205,-0.002415895
290.6675415,-0.024436101,0.011551728,0.000143012,0.023476582,0.042686907,-0.014231825,-0.006465547,0.001310612,0.003365576
290.6675415,-0.024280839,0.009330917,-0.001173655,0.023490293,0.042671583,-0.014219335,-0.011088897,-0.006229981,-0.018209517
290.6657715,-0.027936559,0.017686319,-0.000221575,0.023501304,0.042700617,-0.01421169,-0.022470489,-0.003811433,0.00611186
290.6657715,-0.027819647,0.019566244,-0.000475907,0.023518773,0.042768552,-0.014225681,-0.011292726,0.002995233,-0.005701542
290.6657715,-0.031894017,0.020509269,-0.002359294,0.023521042,0.042850615,-0.014263115,-0.022742607,-0.006044938,-0.031935453
290.6646423,-0.028431375,0.024362864,-0.002160889,0.023532027,0.042964453,-0.014301997,-0.012526281,-0.008555803,-0.010303915
290.6646423,-0.032161664,0.036681049,-0.000209324,0.023553894,0.043154589,-0.014326918,0.001031671,0.006433889,0.007631838
290.6646423,-0.029511552,0.010583136,-0.002479936,0.023557975,0.043351065,-0.01433749,-0.012653667,0.003463096,-0.010336399
290.663208,-0.028705148,0.019443739,-0.001260208,0.023567406,0.043372088,-0.014352952,-0.027643561,-0.00433437,-0.021278083
290.663208,-0.023380956,0.01977184,-0.003528422,0.023567807,0.043390575,-0.014356601,-0.008695383,-0.004933119,0.020667434
290.6643677,-0.024537833,0.019143067,-0.00441632,0.023553552,0.043423821,-0.014350867,-0.013687756,-0.006865242,-0.000818253
290.6643677,-0.026923493,0.016402941,-0.002442918,0.023549053,0.043429609,-0.01436106,-0.023169253,-0.007546837,-0.036371648
290.6643677,-0.026086727,0.01427694,-0.001538508,0.023547248,0.043444796,-0.014375354,-0.013891831,-0.005348627,-0.019633651
290.664978,-0.02368216,0.011309113,-0.004034423,0.023541871,0.043459348,-0.014346981,-0.007146765,0.00108848,0.001392782
290.6644287,-0.02682895,0.012015916,-0.000434095,0.023531796,0.043465195,-0.014341596,-0.00446707,-0.003331177,-0.004390478
